country;;AT (total heat demand MW)
2017-01-07T22:00:00Z;2017-01-07T23:00:00;9173
2017-01-07T23:00:00Z;2017-01-08T00:00:00;8704
2017-01-08T00:00:00Z;2017-01-08T01:00:00;8918
2017-01-08T01:00:00Z;2017-01-08T02:00:00;9119
2017-01-08T02:00:00Z;2017-01-08T03:00:00;9695
2017-01-08T03:00:00Z;2017-01-08T04:00:00;10891
2017-01-08T04:00:00Z;2017-01-08T05:00:00;14359
2017-01-08T05:00:00Z;2017-01-08T06:00:00;17199
2017-01-08T06:00:00Z;2017-01-08T07:00:00;16497
2017-01-08T07:00:00Z;2017-01-08T08:00:00;16347
2017-01-08T08:00:00Z;2017-01-08T09:00:00;15690
2017-01-08T09:00:00Z;2017-01-08T10:00:00;15048
2017-01-08T10:00:00Z;2017-01-08T11:00:00;14466
2017-01-08T11:00:00Z;2017-01-08T12:00:00;14104
2017-01-08T12:00:00Z;2017-01-08T13:00:00;13866
2017-01-08T13:00:00Z;2017-01-08T14:00:00;13991
2017-01-08T14:00:00Z;2017-01-08T15:00:00;14204
2017-01-08T15:00:00Z;2017-01-08T16:00:00;14714
2017-01-08T16:00:00Z;2017-01-08T17:00:00;15017
2017-01-08T17:00:00Z;2017-01-08T18:00:00;14948
2017-01-08T18:00:00Z;2017-01-08T19:00:00;14795
2017-01-08T19:00:00Z;2017-01-08T20:00:00;14275
2017-01-08T20:00:00Z;2017-01-08T21:00:00;12948
2017-01-08T21:00:00Z;2017-01-08T22:00:00;10734
2017-01-08T22:00:00Z;2017-01-08T23:00:00;9042
2017-01-08T23:00:00Z;2017-01-09T00:00:00;6915
2017-01-09T00:00:00Z;2017-01-09T01:00:00;7144
2017-01-09T01:00:00Z;2017-01-09T02:00:00;7331
2017-01-09T02:00:00Z;2017-01-09T03:00:00;7813
2017-01-09T03:00:00Z;2017-01-09T04:00:00;8997
2017-01-09T04:00:00Z;2017-01-09T05:00:00;12176
2017-01-09T05:00:00Z;2017-01-09T06:00:00;14678
2017-01-09T06:00:00Z;2017-01-09T07:00:00;14163
2017-01-09T07:00:00Z;2017-01-09T08:00:00;13831
2017-01-09T08:00:00Z;2017-01-09T09:00:00;13271
2017-01-09T09:00:00Z;2017-01-09T10:00:00;12708
2017-01-09T10:00:00Z;2017-01-09T11:00:00;12192
2017-01-09T11:00:00Z;2017-01-09T12:00:00;11858
2017-01-09T12:00:00Z;2017-01-09T13:00:00;11684
2017-01-09T13:00:00Z;2017-01-09T14:00:00;11800
2017-01-09T14:00:00Z;2017-01-09T15:00:00;11978
2017-01-09T15:00:00Z;2017-01-09T16:00:00;12442
2017-01-09T16:00:00Z;2017-01-09T17:00:00;12725
2017-01-09T17:00:00Z;2017-01-09T18:00:00;12781
2017-01-09T18:00:00Z;2017-01-09T19:00:00;12660
2017-01-09T19:00:00Z;2017-01-09T20:00:00;12232
2017-01-09T20:00:00Z;2017-01-09T21:00:00;11084
2017-01-09T21:00:00Z;2017-01-09T22:00:00;8926
2017-01-09T22:00:00Z;2017-01-09T23:00:00;7338
2017-01-09T23:00:00Z;2017-01-10T00:00:00;4502
2017-01-10T00:00:00Z;2017-01-10T01:00:00;4671
2017-01-10T01:00:00Z;2017-01-10T02:00:00;4786
2017-01-10T02:00:00Z;2017-01-10T03:00:00;5273
2017-01-10T03:00:00Z;2017-01-10T04:00:00;6448
2017-01-10T04:00:00Z;2017-01-10T05:00:00;9017
2017-01-10T05:00:00Z;2017-01-10T06:00:00;10775
2017-01-10T06:00:00Z;2017-01-10T07:00:00;10324
2017-01-10T07:00:00Z;2017-01-10T08:00:00;9853
2017-01-10T08:00:00Z;2017-01-10T09:00:00;9279
2017-01-10T09:00:00Z;2017-01-10T10:00:00;8733
2017-01-10T10:00:00Z;2017-01-10T11:00:00;8436
2017-01-10T11:00:00Z;2017-01-10T12:00:00;8173
2017-01-10T12:00:00Z;2017-01-10T13:00:00;7908
2017-01-10T13:00:00Z;2017-01-10T14:00:00;7908
2017-01-10T14:00:00Z;2017-01-10T15:00:00;8123
2017-01-10T15:00:00Z;2017-01-10T16:00:00;8542
2017-01-10T16:00:00Z;2017-01-10T17:00:00;8971
2017-01-10T17:00:00Z;2017-01-10T18:00:00;9167
2017-01-10T18:00:00Z;2017-01-10T19:00:00;9141
2017-01-10T19:00:00Z;2017-01-10T20:00:00;8904
2017-01-10T20:00:00Z;2017-01-10T21:00:00;8078
2017-01-10T21:00:00Z;2017-01-10T22:00:00;6340
2017-01-10T22:00:00Z;2017-01-10T23:00:00;4967
2017-01-10T23:00:00Z;2017-01-11T00:00:00;5206
2017-01-11T00:00:00Z;2017-01-11T01:00:00;5551
2017-01-11T01:00:00Z;2017-01-11T02:00:00;5485
2017-01-11T02:00:00Z;2017-01-11T03:00:00;6078
2017-01-11T03:00:00Z;2017-01-11T04:00:00;7516
2017-01-11T04:00:00Z;2017-01-11T05:00:00;10447
2017-01-11T05:00:00Z;2017-01-11T06:00:00;11584
2017-01-11T06:00:00Z;2017-01-11T07:00:00;10968
2017-01-11T07:00:00Z;2017-01-11T08:00:00;10478
2017-01-11T08:00:00Z;2017-01-11T09:00:00;9976
2017-01-11T09:00:00Z;2017-01-11T10:00:00;9450
2017-01-11T10:00:00Z;2017-01-11T11:00:00;9152
2017-01-11T11:00:00Z;2017-01-11T12:00:00;8904
2017-01-11T12:00:00Z;2017-01-11T13:00:00;8777
2017-01-11T13:00:00Z;2017-01-11T14:00:00;8952
2017-01-11T14:00:00Z;2017-01-11T15:00:00;9126
2017-01-11T15:00:00Z;2017-01-11T16:00:00;9566
2017-01-11T16:00:00Z;2017-01-11T17:00:00;10058
2017-01-11T17:00:00Z;2017-01-11T18:00:00;10219
2017-01-11T18:00:00Z;2017-01-11T19:00:00;10219
2017-01-11T19:00:00Z;2017-01-11T20:00:00;10011
2017-01-11T20:00:00Z;2017-01-11T21:00:00;9069
2017-01-11T21:00:00Z;2017-01-11T22:00:00;7183
2017-01-11T22:00:00Z;2017-01-11T23:00:00;5735
2017-01-11T23:00:00Z;2017-01-12T00:00:00;5882
2017-01-12T00:00:00Z;2017-01-12T01:00:00;6155
2017-01-12T01:00:00Z;2017-01-12T02:00:00;6296
2017-01-12T02:00:00Z;2017-01-12T03:00:00;6876
2017-01-12T03:00:00Z;2017-01-12T04:00:00;8168
2017-01-12T04:00:00Z;2017-01-12T05:00:00;11107
2017-01-12T05:00:00Z;2017-01-12T06:00:00;13222
2017-01-12T06:00:00Z;2017-01-12T07:00:00;12781
2017-01-12T07:00:00Z;2017-01-12T08:00:00;12335
2017-01-12T08:00:00Z;2017-01-12T09:00:00;11740
2017-01-12T09:00:00Z;2017-01-12T10:00:00;11158
2017-01-12T10:00:00Z;2017-01-12T11:00:00;10632
2017-01-12T11:00:00Z;2017-01-12T12:00:00;10377
2017-01-12T12:00:00Z;2017-01-12T13:00:00;10244
2017-01-12T13:00:00Z;2017-01-12T14:00:00;10314
2017-01-12T14:00:00Z;2017-01-12T15:00:00;10499
2017-01-12T15:00:00Z;2017-01-12T16:00:00;10954
2017-01-12T16:00:00Z;2017-01-12T17:00:00;11360
2017-01-12T17:00:00Z;2017-01-12T18:00:00;11519
2017-01-12T18:00:00Z;2017-01-12T19:00:00;11478
2017-01-12T19:00:00Z;2017-01-12T20:00:00;11076
2017-01-12T20:00:00Z;2017-01-12T21:00:00;10029
2017-01-12T21:00:00Z;2017-01-12T22:00:00;7918
2017-01-12T22:00:00Z;2017-01-12T23:00:00;6362
2017-01-12T23:00:00Z;2017-01-13T00:00:00;6704
2017-01-13T00:00:00Z;2017-01-13T01:00:00;6947
2017-01-13T01:00:00Z;2017-01-13T02:00:00;7108
2017-01-13T02:00:00Z;2017-01-13T03:00:00;7620
2017-01-13T03:00:00Z;2017-01-13T04:00:00;8745
2017-01-13T04:00:00Z;2017-01-13T05:00:00;11846
2017-01-13T05:00:00Z;2017-01-13T06:00:00;14111
2017-01-13T06:00:00Z;2017-01-13T07:00:00;13629
2017-01-13T07:00:00Z;2017-01-13T08:00:00;13304
2017-01-13T08:00:00Z;2017-01-13T09:00:00;12784
2017-01-13T09:00:00Z;2017-01-13T10:00:00;12220
2017-01-13T10:00:00Z;2017-01-13T11:00:00;11719
2017-01-13T11:00:00Z;2017-01-13T12:00:00;11412
2017-01-13T12:00:00Z;2017-01-13T13:00:00;11289
2017-01-13T13:00:00Z;2017-01-13T14:00:00;11379
2017-01-13T14:00:00Z;2017-01-13T15:00:00;11572
2017-01-13T15:00:00Z;2017-01-13T16:00:00;12021
2017-01-13T16:00:00Z;2017-01-13T17:00:00;12313
2017-01-13T17:00:00Z;2017-01-13T18:00:00;12305
2017-01-13T18:00:00Z;2017-01-13T19:00:00;12195
