country;;AT (total heat demand MW)
2017-07-12T08:00:00Z;2017-07-12T10:00:00;1688
2017-07-12T09:00:00Z;2017-07-12T11:00:00;1618
2017-07-12T10:00:00Z;2017-07-12T12:00:00;1563
2017-07-12T11:00:00Z;2017-07-12T13:00:00;1387
2017-07-12T12:00:00Z;2017-07-12T14:00:00;1346
2017-07-12T13:00:00Z;2017-07-12T15:00:00;1269
2017-07-12T14:00:00Z;2017-07-12T16:00:00;1351
2017-07-12T15:00:00Z;2017-07-12T17:00:00;1490
2017-07-12T16:00:00Z;2017-07-12T18:00:00;1530
2017-07-12T17:00:00Z;2017-07-12T19:00:00;1628
2017-07-12T18:00:00Z;2017-07-12T20:00:00;1704
2017-07-12T19:00:00Z;2017-07-12T21:00:00;1584
2017-07-12T20:00:00Z;2017-07-12T22:00:00;1186
2017-07-12T21:00:00Z;2017-07-12T23:00:00;766
2017-07-12T22:00:00Z;2017-07-13T00:00:00;644
2017-07-12T23:00:00Z;2017-07-13T01:00:00;704
2017-07-13T00:00:00Z;2017-07-13T02:00:00;696
2017-07-13T01:00:00Z;2017-07-13T03:00:00;821
2017-07-13T02:00:00Z;2017-07-13T04:00:00;1250
2017-07-13T03:00:00Z;2017-07-13T05:00:00;2255
2017-07-13T04:00:00Z;2017-07-13T06:00:00;2824
2017-07-13T05:00:00Z;2017-07-13T07:00:00;2708
2017-07-13T06:00:00Z;2017-07-13T08:00:00;2217
2017-07-13T07:00:00Z;2017-07-13T09:00:00;2124
2017-07-13T08:00:00Z;2017-07-13T10:00:00;1929
2017-07-13T09:00:00Z;2017-07-13T11:00:00;1828
2017-07-13T10:00:00Z;2017-07-13T12:00:00;1754
2017-07-13T11:00:00Z;2017-07-13T13:00:00;1555
2017-07-13T12:00:00Z;2017-07-13T14:00:00;1515
2017-07-13T13:00:00Z;2017-07-13T15:00:00;1423
2017-07-13T14:00:00Z;2017-07-13T16:00:00;1502
2017-07-13T15:00:00Z;2017-07-13T17:00:00;1626
2017-07-13T16:00:00Z;2017-07-13T18:00:00;1690
2017-07-13T17:00:00Z;2017-07-13T19:00:00;1832
2017-07-13T18:00:00Z;2017-07-13T20:00:00;1892
2017-07-13T19:00:00Z;2017-07-13T21:00:00;1717
2017-07-13T20:00:00Z;2017-07-13T22:00:00;1312
2017-07-13T21:00:00Z;2017-07-13T23:00:00;841
2017-07-13T22:00:00Z;2017-07-14T00:00:00;595
2017-07-13T23:00:00Z;2017-07-14T01:00:00;661
2017-07-14T00:00:00Z;2017-07-14T02:00:00;657
2017-07-14T01:00:00Z;2017-07-14T03:00:00;776
2017-07-14T02:00:00Z;2017-07-14T04:00:00;1194
2017-07-14T03:00:00Z;2017-07-14T05:00:00;2177
2017-07-14T04:00:00Z;2017-07-14T06:00:00;2748
2017-07-14T05:00:00Z;2017-07-14T07:00:00;2630
2017-07-14T06:00:00Z;2017-07-14T08:00:00;2168
2017-07-14T07:00:00Z;2017-07-14T09:00:00;2076
2017-07-14T08:00:00Z;2017-07-14T10:00:00;1890
2017-07-14T09:00:00Z;2017-07-14T11:00:00;1791
2017-07-14T10:00:00Z;2017-07-14T12:00:00;1722
2017-07-14T11:00:00Z;2017-07-14T13:00:00;1514
2017-07-14T12:00:00Z;2017-07-14T14:00:00;1459
2017-07-14T13:00:00Z;2017-07-14T15:00:00;1366
2017-07-14T14:00:00Z;2017-07-14T16:00:00;1441
2017-07-14T15:00:00Z;2017-07-14T17:00:00;1557
2017-07-14T16:00:00Z;2017-07-14T18:00:00;1613
2017-07-14T17:00:00Z;2017-07-14T19:00:00;1748
2017-07-14T18:00:00Z;2017-07-14T20:00:00;1805
2017-07-14T19:00:00Z;2017-07-14T21:00:00;1636
2017-07-14T20:00:00Z;2017-07-14T22:00:00;1250
2017-07-14T21:00:00Z;2017-07-14T23:00:00;791
2017-07-14T22:00:00Z;2017-07-15T00:00:00;518
2017-07-14T23:00:00Z;2017-07-15T01:00:00;583
2017-07-15T00:00:00Z;2017-07-15T02:00:00;575
2017-07-15T01:00:00Z;2017-07-15T03:00:00;668
2017-07-15T02:00:00Z;2017-07-15T04:00:00;1047
2017-07-15T03:00:00Z;2017-07-15T05:00:00;1974
2017-07-15T04:00:00Z;2017-07-15T06:00:00;2518
2017-07-15T05:00:00Z;2017-07-15T07:00:00;2404
2017-07-15T06:00:00Z;2017-07-15T08:00:00;1949
2017-07-15T07:00:00Z;2017-07-15T09:00:00;1870
2017-07-15T08:00:00Z;2017-07-15T10:00:00;1719
2017-07-15T09:00:00Z;2017-07-15T11:00:00;1648
2017-07-15T10:00:00Z;2017-07-15T12:00:00;1588
2017-07-15T11:00:00Z;2017-07-15T13:00:00;1371
2017-07-15T12:00:00Z;2017-07-15T14:00:00;1321
2017-07-15T13:00:00Z;2017-07-15T15:00:00;1227
2017-07-15T14:00:00Z;2017-07-15T16:00:00;1293
2017-07-15T15:00:00Z;2017-07-15T17:00:00;1416
2017-07-15T16:00:00Z;2017-07-15T18:00:00;1447
2017-07-15T17:00:00Z;2017-07-15T19:00:00;1564
2017-07-15T18:00:00Z;2017-07-15T20:00:00;1626
2017-07-15T19:00:00Z;2017-07-15T21:00:00;1465
2017-07-15T20:00:00Z;2017-07-15T22:00:00;1114
2017-07-15T21:00:00Z;2017-07-15T23:00:00;701
2017-07-15T22:00:00Z;2017-07-16T00:00:00;467
2017-07-15T23:00:00Z;2017-07-16T01:00:00;531
2017-07-16T00:00:00Z;2017-07-16T02:00:00;521
2017-07-16T01:00:00Z;2017-07-16T03:00:00;598
2017-07-16T02:00:00Z;2017-07-16T04:00:00;948
2017-07-16T03:00:00Z;2017-07-16T05:00:00;1827
2017-07-16T04:00:00Z;2017-07-16T06:00:00;2339
2017-07-16T05:00:00Z;2017-07-16T07:00:00;2230
2017-07-16T06:00:00Z;2017-07-16T08:00:00;1787
2017-07-16T07:00:00Z;2017-07-16T09:00:00;1716
2017-07-16T08:00:00Z;2017-07-16T10:00:00;1589
2017-07-16T09:00:00Z;2017-07-16T11:00:00;1534
2017-07-16T10:00:00Z;2017-07-16T12:00:00;1479
2017-07-16T11:00:00Z;2017-07-16T13:00:00;1262
2017-07-16T12:00:00Z;2017-07-16T14:00:00;1217
2017-07-16T13:00:00Z;2017-07-16T15:00:00;1123
2017-07-16T14:00:00Z;2017-07-16T16:00:00;1184
2017-07-16T15:00:00Z;2017-07-16T17:00:00;1306
2017-07-16T16:00:00Z;2017-07-16T18:00:00;1324
2017-07-16T17:00:00Z;2017-07-16T19:00:00;1428
2017-07-16T18:00:00Z;2017-07-16T20:00:00;1492
2017-07-16T19:00:00Z;2017-07-16T21:00:00;1340
2017-07-16T20:00:00Z;2017-07-16T22:00:00;1017
2017-07-16T21:00:00Z;2017-07-16T23:00:00;639
2017-07-16T22:00:00Z;2017-07-17T00:00:00;431
2017-07-16T23:00:00Z;2017-07-17T01:00:00;482
2017-07-17T00:00:00Z;2017-07-17T02:00:00;470
2017-07-17T01:00:00Z;2017-07-17T03:00:00;528
2017-07-17T02:00:00Z;2017-07-17T04:00:00;840
2017-07-17T03:00:00Z;2017-07-17T05:00:00;1649
2017-07-17T04:00:00Z;2017-07-17T06:00:00;2106
2017-07-17T05:00:00Z;2017-07-17T07:00:00;2045
2017-07-17T06:00:00Z;2017-07-17T08:00:00;1639
2017-07-17T07:00:00Z;2017-07-17T09:00:00;1570
2017-07-17T08:00:00Z;2017-07-17T10:00:00;1447
2017-07-17T09:00:00Z;2017-07-17T11:00:00;1397
2017-07-17T10:00:00Z;2017-07-17T12:00:00;1348
2017-07-17T11:00:00Z;2017-07-17T13:00:00;1155
2017-07-17T12:00:00Z;2017-07-17T14:00:00;1093
2017-07-17T13:00:00Z;2017-07-17T15:00:00;1011
2017-07-17T14:00:00Z;2017-07-17T16:00:00;1058
2017-07-17T15:00:00Z;2017-07-17T17:00:00;1188
2017-07-17T16:00:00Z;2017-07-17T18:00:00;1208
2017-07-17T17:00:00Z;2017-07-17T19:00:00;1310
2017-07-17T18:00:00Z;2017-07-17T20:00:00;1357
2017-07-17T19:00:00Z;2017-07-17T21:00:00;1227
2017-07-17T20:00:00Z;2017-07-17T22:00:00;919
2017-07-17T21:00:00Z;2017-07-17T23:00:00;572
2017-07-17T22:00:00Z;2017-07-18T00:00:00;458
2017-07-17T23:00:00Z;2017-07-18T01:00:00;475
2017-07-18T00:00:00Z;2017-07-18T02:00:00;432
2017-07-18T01:00:00Z;2017-07-18T03:00:00;509
2017-07-18T02:00:00Z;2017-07-18T04:00:00;802
2017-07-18T03:00:00Z;2017-07-18T05:00:00;1487
2017-07-18T04:00:00Z;2017-07-18T06:00:00;2034
2017-07-18T05:00:00Z;2017-07-18T07:00:00;1959
2017-07-18T06:00:00Z;2017-07-18T08:00:00;1584
2017-07-18T07:00:00Z;2017-07-18T09:00:00;1492
2017-07-18T08:00:00Z;2017-07-18T10:00:00;1417
2017-07-18T09:00:00Z;2017-07-18T11:00:00;1311
2017-07-18T10:00:00Z;2017-07-18T12:00:00;1282
2017-07-18T11:00:00Z;2017-07-18T13:00:00;1099
2017-07-18T12:00:00Z;2017-07-18T14:00:00;1128
2017-07-18T13:00:00Z;2017-07-18T15:00:00;1026
2017-07-18T14:00:00Z;2017-07-18T16:00:00;1078
2017-07-18T15:00:00Z;2017-07-18T17:00:00;1156
2017-07-18T16:00:00Z;2017-07-18T18:00:00;1155
2017-07-18T17:00:00Z;2017-07-18T19:00:00;1234
2017-07-18T18:00:00Z;2017-07-18T20:00:00;1272
2017-07-18T19:00:00Z;2017-07-18T21:00:00;1179
2017-07-18T20:00:00Z;2017-07-18T22:00:00;878
2017-07-18T21:00:00Z;2017-07-18T23:00:00;547
2017-07-18T22:00:00Z;2017-07-19T00:00:00;431
2017-07-18T23:00:00Z;2017-07-19T01:00:00;497
2017-07-19T00:00:00Z;2017-07-19T02:00:00;519
2017-07-19T01:00:00Z;2017-07-19T03:00:00;671
2017-07-19T02:00:00Z;2017-07-19T04:00:00;1002
2017-07-19T03:00:00Z;2017-07-19T05:00:00;1668
2017-07-19T04:00:00Z;2017-07-19T06:00:00;1900
2017-07-19T05:00:00Z;2017-07-19T07:00:00;1871
2017-07-19T06:00:00Z;2017-07-19T08:00:00;1453
2017-07-19T07:00:00Z;2017-07-19T09:00:00;1388
2017-07-19T08:00:00Z;2017-07-19T10:00:00;1295
2017-07-19T09:00:00Z;2017-07-19T11:00:00;1251
2017-07-19T10:00:00Z;2017-07-19T12:00:00;1221
2017-07-19T11:00:00Z;2017-07-19T13:00:00;1055
2017-07-19T12:00:00Z;2017-07-19T14:00:00;1021
2017-07-19T13:00:00Z;2017-07-19T15:00:00;948
2017-07-19T14:00:00Z;2017-07-19T16:00:00;1011
2017-07-19T15:00:00Z;2017-07-19T17:00:00;1129
2017-07-19T16:00:00Z;2017-07-19T18:00:00;1152
2017-07-19T17:00:00Z;2017-07-19T19:00:00;1223
2017-07-19T18:00:00Z;2017-07-19T20:00:00;1278
2017-07-19T19:00:00Z;2017-07-19T21:00:00;1199
2017-07-19T20:00:00Z;2017-07-19T22:00:00;889
2017-07-19T21:00:00Z;2017-07-19T23:00:00;575
2017-07-19T22:00:00Z;2017-07-20T00:00:00;435
2017-07-19T23:00:00Z;2017-07-20T01:00:00;495
2017-07-20T00:00:00Z;2017-07-20T02:00:00;482
2017-07-20T01:00:00Z;2017-07-20T03:00:00;546
2017-07-20T02:00:00Z;2017-07-20T04:00:00;867
2017-07-20T03:00:00Z;2017-07-20T05:00:00;1690
2017-07-20T04:00:00Z;2017-07-20T06:00:00;2144
2017-07-20T05:00:00Z;2017-07-20T07:00:00;2045
2017-07-20T06:00:00Z;2017-07-20T08:00:00;1596
2017-07-20T07:00:00Z;2017-07-20T09:00:00;1534
2017-07-20T08:00:00Z;2017-07-20T10:00:00;1423
2017-07-20T09:00:00Z;2017-07-20T11:00:00;1381
2017-07-20T10:00:00Z;2017-07-20T12:00:00;1334
2017-07-20T11:00:00Z;2017-07-20T13:00:00;1130
2017-07-20T12:00:00Z;2017-07-20T14:00:00;1099
2017-07-20T13:00:00Z;2017-07-20T15:00:00;1013
2017-07-20T14:00:00Z;2017-07-20T16:00:00;1070
2017-07-20T15:00:00Z;2017-07-20T17:00:00;1187
2017-07-20T16:00:00Z;2017-07-20T18:00:00;1200
2017-07-20T17:00:00Z;2017-07-20T19:00:00;1295
2017-07-20T18:00:00Z;2017-07-20T20:00:00;1362
2017-07-20T19:00:00Z;2017-07-20T21:00:00;1222
2017-07-20T20:00:00Z;2017-07-20T22:00:00;932
2017-07-20T21:00:00Z;2017-07-20T23:00:00;586
2017-07-20T22:00:00Z;2017-07-21T00:00:00;408
2017-07-20T23:00:00Z;2017-07-21T01:00:00;470
2017-07-21T00:00:00Z;2017-07-21T02:00:00;461
2017-07-21T01:00:00Z;2017-07-21T03:00:00;522
2017-07-21T02:00:00Z;2017-07-21T04:00:00;840
2017-07-21T03:00:00Z;2017-07-21T05:00:00;1649
2017-07-21T04:00:00Z;2017-07-21T06:00:00;2112
2017-07-21T05:00:00Z;2017-07-21T07:00:00;2009
2017-07-21T06:00:00Z;2017-07-21T08:00:00;1588
2017-07-21T07:00:00Z;2017-07-21T09:00:00;1525
2017-07-21T08:00:00Z;2017-07-21T10:00:00;1420
2017-07-21T09:00:00Z;2017-07-21T11:00:00;1378
2017-07-21T10:00:00Z;2017-07-21T12:00:00;1330
2017-07-21T11:00:00Z;2017-07-21T13:00:00;1119
2017-07-21T12:00:00Z;2017-07-21T14:00:00;1073
2017-07-21T13:00:00Z;2017-07-21T15:00:00;985
2017-07-21T14:00:00Z;2017-07-21T16:00:00;1035
2017-07-21T15:00:00Z;2017-07-21T17:00:00;1151
2017-07-21T16:00:00Z;2017-07-21T18:00:00;1162
2017-07-21T17:00:00Z;2017-07-21T19:00:00;1253
2017-07-21T18:00:00Z;2017-07-21T20:00:00;1312
2017-07-21T19:00:00Z;2017-07-21T21:00:00;1176
2017-07-21T20:00:00Z;2017-07-21T22:00:00;894
2017-07-21T21:00:00Z;2017-07-21T23:00:00;557
2017-07-21T22:00:00Z;2017-07-22T00:00:00;394
2017-07-21T23:00:00Z;2017-07-22T01:00:00;455
2017-07-22T00:00:00Z;2017-07-22T02:00:00;447
2017-07-22T01:00:00Z;2017-07-22T03:00:00;504
2017-07-22T02:00:00Z;2017-07-22T04:00:00;814
2017-07-22T03:00:00Z;2017-07-22T05:00:00;1601
2017-07-22T04:00:00Z;2017-07-22T06:00:00;2050
2017-07-22T05:00:00Z;2017-07-22T07:00:00;1950
2017-07-22T06:00:00Z;2017-07-22T08:00:00;1538
2017-07-22T07:00:00Z;2017-07-22T09:00:00;1476
2017-07-22T08:00:00Z;2017-07-22T10:00:00;1375
2017-07-22T09:00:00Z;2017-07-22T11:00:00;1336
2017-07-22T10:00:00Z;2017-07-22T12:00:00;1290
2017-07-22T11:00:00Z;2017-07-22T13:00:00;1082
2017-07-22T12:00:00Z;2017-07-22T14:00:00;1037
2017-07-22T13:00:00Z;2017-07-22T15:00:00;952
2017-07-22T14:00:00Z;2017-07-22T16:00:00;998
2017-07-22T15:00:00Z;2017-07-22T17:00:00;1113
2017-07-22T16:00:00Z;2017-07-22T18:00:00;1123
2017-07-22T17:00:00Z;2017-07-22T19:00:00;1210
2017-07-22T18:00:00Z;2017-07-22T20:00:00;1267
2017-07-22T19:00:00Z;2017-07-22T21:00:00;1136
2017-07-22T20:00:00Z;2017-07-22T22:00:00;864
2017-07-22T21:00:00Z;2017-07-22T23:00:00;537
2017-07-22T22:00:00Z;2017-07-23T00:00:00;423
2017-07-22T23:00:00Z;2017-07-23T01:00:00;485
2017-07-23T00:00:00Z;2017-07-23T02:00:00;477
2017-07-23T01:00:00Z;2017-07-23T03:00:00;542
2017-07-23T02:00:00Z;2017-07-23T04:00:00;866
2017-07-23T03:00:00Z;2017-07-23T05:00:00;1681
2017-07-23T04:00:00Z;2017-07-23T06:00:00;2147
2017-07-23T05:00:00Z;2017-07-23T07:00:00;2045
2017-07-23T06:00:00Z;2017-07-23T08:00:00;1626
2017-07-23T07:00:00Z;2017-07-23T09:00:00;1560
2017-07-23T08:00:00Z;2017-07-23T10:00:00;1448
2017-07-23T09:00:00Z;2017-07-23T11:00:00;1401
2017-07-23T10:00:00Z;2017-07-23T12:00:00;1352
2017-07-23T11:00:00Z;2017-07-23T13:00:00;1144
2017-07-23T12:00:00Z;2017-07-23T14:00:00;1098
2017-07-23T13:00:00Z;2017-07-23T15:00:00;1012
2017-07-23T14:00:00Z;2017-07-23T16:00:00;1062
2017-07-23T15:00:00Z;2017-07-23T17:00:00;1177
2017-07-23T16:00:00Z;2017-07-23T18:00:00;1193
2017-07-23T17:00:00Z;2017-07-23T19:00:00;1287
2017-07-23T18:00:00Z;2017-07-23T20:00:00;1344
2017-07-23T19:00:00Z;2017-07-23T21:00:00;1207
2017-07-23T20:00:00Z;2017-07-23T22:00:00;918
2017-07-23T21:00:00Z;2017-07-23T23:00:00;575
2017-07-23T22:00:00Z;2017-07-24T00:00:00;443
2017-07-23T23:00:00Z;2017-07-24T01:00:00;494
2017-07-24T00:00:00Z;2017-07-24T02:00:00;483
2017-07-24T01:00:00Z;2017-07-24T03:00:00;545
2017-07-24T02:00:00Z;2017-07-24T04:00:00;863
2017-07-24T03:00:00Z;2017-07-24T05:00:00;1676
2017-07-24T04:00:00Z;2017-07-24T06:00:00;2133
2017-07-24T05:00:00Z;2017-07-24T07:00:00;2071
2017-07-24T06:00:00Z;2017-07-24T08:00:00;1668
2017-07-24T07:00:00Z;2017-07-24T09:00:00;1597
2017-07-24T08:00:00Z;2017-07-24T10:00:00;1467
2017-07-24T09:00:00Z;2017-07-24T11:00:00;1411
2017-07-24T10:00:00Z;2017-07-24T12:00:00;1362
2017-07-24T11:00:00Z;2017-07-24T13:00:00;1172
2017-07-24T12:00:00Z;2017-07-24T14:00:00;1108
2017-07-24T13:00:00Z;2017-07-24T15:00:00;1028
2017-07-24T14:00:00Z;2017-07-24T16:00:00;1075
2017-07-24T15:00:00Z;2017-07-24T17:00:00;1202
2017-07-24T16:00:00Z;2017-07-24T18:00:00;1228
2017-07-24T17:00:00Z;2017-07-24T19:00:00;1334
2017-07-24T18:00:00Z;2017-07-24T20:00:00;1378
2017-07-24T19:00:00Z;2017-07-24T21:00:00;1249
2017-07-24T20:00:00Z;2017-07-24T22:00:00;937
2017-07-24T21:00:00Z;2017-07-24T23:00:00;584
2017-07-24T22:00:00Z;2017-07-25T00:00:00;548
2017-07-24T23:00:00Z;2017-07-25T01:00:00;565
2017-07-25T00:00:00Z;2017-07-25T02:00:00;540
2017-07-25T01:00:00Z;2017-07-25T03:00:00;627
2017-07-25T02:00:00Z;2017-07-25T04:00:00;969
2017-07-25T03:00:00Z;2017-07-25T05:00:00;1745
2017-07-25T04:00:00Z;2017-07-25T06:00:00;2325
2017-07-25T05:00:00Z;2017-07-25T07:00:00;2241
2017-07-25T06:00:00Z;2017-07-25T08:00:00;1864
2017-07-25T07:00:00Z;2017-07-25T09:00:00;1752
2017-07-25T08:00:00Z;2017-07-25T10:00:00;1638
2017-07-25T09:00:00Z;2017-07-25T11:00:00;1522
2017-07-25T10:00:00Z;2017-07-25T12:00:00;1480
2017-07-25T11:00:00Z;2017-07-25T13:00:00;1295
2017-07-25T12:00:00Z;2017-07-25T14:00:00;1297
2017-07-25T13:00:00Z;2017-07-25T15:00:00;1205
2017-07-25T14:00:00Z;2017-07-25T16:00:00;1271
2017-07-25T15:00:00Z;2017-07-25T17:00:00;1366
2017-07-25T16:00:00Z;2017-07-25T18:00:00;1384
2017-07-25T17:00:00Z;2017-07-25T19:00:00;1485
2017-07-25T18:00:00Z;2017-07-25T20:00:00;1518
2017-07-25T19:00:00Z;2017-07-25T21:00:00;1405
2017-07-25T20:00:00Z;2017-07-25T22:00:00;1051
2017-07-25T21:00:00Z;2017-07-25T23:00:00;668
2017-07-25T22:00:00Z;2017-07-26T00:00:00;677
2017-07-25T23:00:00Z;2017-07-26T01:00:00;740
2017-07-26T00:00:00Z;2017-07-26T02:00:00;780
2017-07-26T01:00:00Z;2017-07-26T03:00:00;963
2017-07-26T02:00:00Z;2017-07-26T04:00:00;1453
2017-07-26T03:00:00Z;2017-07-26T05:00:00;2437
2017-07-26T04:00:00Z;2017-07-26T06:00:00;2743
2017-07-26T05:00:00Z;2017-07-26T07:00:00;2658
2017-07-26T06:00:00Z;2017-07-26T08:00:00;2176
2017-07-26T07:00:00Z;2017-07-26T09:00:00;2080
2017-07-26T08:00:00Z;2017-07-26T10:00:00;1901
2017-07-26T09:00:00Z;2017-07-26T11:00:00;1807
2017-07-26T10:00:00Z;2017-07-26T12:00:00;1736
2017-07-26T11:00:00Z;2017-07-26T13:00:00;1569
2017-07-26T12:00:00Z;2017-07-26T14:00:00;1527
2017-07-26T13:00:00Z;2017-07-26T15:00:00;1460
2017-07-26T14:00:00Z;2017-07-26T16:00:00;1550
2017-07-26T15:00:00Z;2017-07-26T17:00:00;1688
2017-07-26T16:00:00Z;2017-07-26T18:00:00;1755
2017-07-26T17:00:00Z;2017-07-26T19:00:00;1874
2017-07-26T18:00:00Z;2017-07-26T20:00:00;1945
2017-07-26T19:00:00Z;2017-07-26T21:00:00;1806
2017-07-26T20:00:00Z;2017-07-26T22:00:00;1361
2017-07-26T21:00:00Z;2017-07-26T23:00:00;886
2017-07-26T22:00:00Z;2017-07-27T00:00:00;803
2017-07-26T23:00:00Z;2017-07-27T01:00:00;867
2017-07-27T00:00:00Z;2017-07-27T02:00:00;870
2017-07-27T01:00:00Z;2017-07-27T03:00:00;1029
2017-07-27T02:00:00Z;2017-07-27T04:00:00;1527
2017-07-27T03:00:00Z;2017-07-27T05:00:00;2639
2017-07-27T04:00:00Z;2017-07-27T06:00:00;3296
2017-07-27T05:00:00Z;2017-07-27T07:00:00;3172
2017-07-27T06:00:00Z;2017-07-27T08:00:00;2656
2017-07-27T07:00:00Z;2017-07-27T09:00:00;2527
2017-07-27T08:00:00Z;2017-07-27T10:00:00;2287
2017-07-27T09:00:00Z;2017-07-27T11:00:00;2146
2017-07-27T10:00:00Z;2017-07-27T12:00:00;2053
2017-07-27T11:00:00Z;2017-07-27T13:00:00;1862
2017-07-27T12:00:00Z;2017-07-27T14:00:00;1812
2017-07-27T13:00:00Z;2017-07-27T15:00:00;1735
2017-07-27T14:00:00Z;2017-07-27T16:00:00;1822
2017-07-27T15:00:00Z;2017-07-27T17:00:00;1956
2017-07-27T16:00:00Z;2017-07-27T18:00:00;2055
2017-07-27T17:00:00Z;2017-07-27T19:00:00;2226
2017-07-27T18:00:00Z;2017-07-27T20:00:00;2275
2017-07-27T19:00:00Z;2017-07-27T21:00:00;2076
2017-07-27T20:00:00Z;2017-07-27T22:00:00;1585
2017-07-27T21:00:00Z;2017-07-27T23:00:00;1025
2017-07-27T22:00:00Z;2017-07-28T00:00:00;827
2017-07-27T23:00:00Z;2017-07-28T01:00:00;899
2017-07-28T00:00:00Z;2017-07-28T02:00:00;912
2017-07-28T01:00:00Z;2017-07-28T03:00:00;1074
2017-07-28T02:00:00Z;2017-07-28T04:00:00;1589
2017-07-28T03:00:00Z;2017-07-28T05:00:00;2731
2017-07-28T04:00:00Z;2017-07-28T06:00:00;3431
2017-07-28T05:00:00Z;2017-07-28T07:00:00;3304
2017-07-28T06:00:00Z;2017-07-28T08:00:00;2806
2017-07-28T07:00:00Z;2017-07-28T09:00:00;2658
2017-07-28T08:00:00Z;2017-07-28T10:00:00;2408
2017-07-28T09:00:00Z;2017-07-28T11:00:00;2254
2017-07-28T10:00:00Z;2017-07-28T12:00:00;2157
2017-07-28T11:00:00Z;2017-07-28T13:00:00;1961
2017-07-28T12:00:00Z;2017-07-28T14:00:00;1893
2017-07-28T13:00:00Z;2017-07-28T15:00:00;1821
2017-07-28T14:00:00Z;2017-07-28T16:00:00;1912
2017-07-28T15:00:00Z;2017-07-28T17:00:00;2040
2017-07-28T16:00:00Z;2017-07-28T18:00:00;2142
2017-07-28T17:00:00Z;2017-07-28T19:00:00;2318
2017-07-28T18:00:00Z;2017-07-28T20:00:00;2357
2017-07-28T19:00:00Z;2017-07-28T21:00:00;2155
2017-07-28T20:00:00Z;2017-07-28T22:00:00;1640
2017-07-28T21:00:00Z;2017-07-28T23:00:00;1055
2017-07-28T22:00:00Z;2017-07-29T00:00:00;984
2017-07-28T23:00:00Z;2017-07-29T01:00:00;1058
2017-07-29T00:00:00Z;2017-07-29T02:00:00;1080
2017-07-29T01:00:00Z;2017-07-29T03:00:00;1278
2017-07-29T02:00:00Z;2017-07-29T04:00:00;1854
2017-07-29T03:00:00Z;2017-07-29T05:00:00;3081
2017-07-29T04:00:00Z;2017-07-29T06:00:00;3839
2017-07-29T05:00:00Z;2017-07-29T07:00:00;3703
2017-07-29T06:00:00Z;2017-07-29T08:00:00;3203
2017-07-29T07:00:00Z;2017-07-29T09:00:00;3024
2017-07-29T08:00:00Z;2017-07-29T10:00:00;2725
2017-07-29T09:00:00Z;2017-07-29T11:00:00;2532
2017-07-29T10:00:00Z;2017-07-29T12:00:00;2422
2017-07-29T11:00:00Z;2017-07-29T13:00:00;2243
2017-07-29T12:00:00Z;2017-07-29T14:00:00;2170
2017-07-29T13:00:00Z;2017-07-29T15:00:00;2111
2017-07-29T14:00:00Z;2017-07-29T16:00:00;2213
2017-07-29T15:00:00Z;2017-07-29T17:00:00;2341
2017-07-29T16:00:00Z;2017-07-29T18:00:00;2476
2017-07-29T17:00:00Z;2017-07-29T19:00:00;2675
2017-07-29T18:00:00Z;2017-07-29T20:00:00;2699
2017-07-29T19:00:00Z;2017-07-29T21:00:00;2475
2017-07-29T20:00:00Z;2017-07-29T22:00:00;1888
2017-07-29T21:00:00Z;2017-07-29T23:00:00;1229
2017-07-29T22:00:00Z;2017-07-30T00:00:00;1118
2017-07-29T23:00:00Z;2017-07-30T01:00:00;1200
2017-07-30T00:00:00Z;2017-07-30T02:00:00;1226
2017-07-30T01:00:00Z;2017-07-30T03:00:00;1437
2017-07-30T02:00:00Z;2017-07-30T04:00:00;2040
2017-07-30T03:00:00Z;2017-07-30T05:00:00;3310
2017-07-30T04:00:00Z;2017-07-30T06:00:00;4107
2017-07-30T05:00:00Z;2017-07-30T07:00:00;3969
2017-07-30T06:00:00Z;2017-07-30T08:00:00;3477
2017-07-30T07:00:00Z;2017-07-30T09:00:00;3271
2017-07-30T08:00:00Z;2017-07-30T10:00:00;2962
2017-07-30T09:00:00Z;2017-07-30T11:00:00;2757
2017-07-30T10:00:00Z;2017-07-30T12:00:00;2641
2017-07-30T11:00:00Z;2017-07-30T13:00:00;2470
2017-07-30T12:00:00Z;2017-07-30T14:00:00;2403
2017-07-30T13:00:00Z;2017-07-30T15:00:00;2358
2017-07-30T14:00:00Z;2017-07-30T16:00:00;2471
2017-07-30T15:00:00Z;2017-07-30T17:00:00;2610
2017-07-30T16:00:00Z;2017-07-30T18:00:00;2747
2017-07-30T17:00:00Z;2017-07-30T19:00:00;2941
2017-07-30T18:00:00Z;2017-07-30T20:00:00;2952
2017-07-30T19:00:00Z;2017-07-30T21:00:00;2702
2017-07-30T20:00:00Z;2017-07-30T22:00:00;2057
2017-07-30T21:00:00Z;2017-07-30T23:00:00;1370
2017-07-30T22:00:00Z;2017-07-31T00:00:00;997
2017-07-30T23:00:00Z;2017-07-31T01:00:00;1073
2017-07-31T00:00:00Z;2017-07-31T02:00:00;1080
2017-07-31T01:00:00Z;2017-07-31T03:00:00;1272
2017-07-31T02:00:00Z;2017-07-31T04:00:00;1840
2017-07-31T03:00:00Z;2017-07-31T05:00:00;3043
2017-07-31T04:00:00Z;2017-07-31T06:00:00;3796
2017-07-31T05:00:00Z;2017-07-31T07:00:00;3703
